epoch,step,train_cardinality_error,train_loss,train_loss_bbox,train_loss_ce,train_loss_giou,val_cardinality_error,val_classes,val_loss,val_loss_bbox,val_loss_ce,val_loss_giou,val_map,val_map_50,val_map_75,val_map_large,val_map_medium,val_map_per_class,val_map_small,val_mar_1,val_mar_10,val_mar_100,val_mar_100_per_class,val_mar_large,val_mar_medium,val_mar_small
0,9,29.5,1.8023157119750977,0.046552874147892,0.642564058303833,0.463493674993515,,,,,,,,,,,,,,,,,,,,
0,19,41.0,1.3174965381622314,0.022189350798726082,0.6455233097076416,0.2805132567882538,,,,,,,,,,,,,,,,,,,,
0,29,18.25,3.3087546825408936,0.11883901804685593,0.6896036267280579,1.012477993965149,,,,,,,,,,,,,,,,,,,,
0,39,16.5,1.2625861167907715,0.020075904205441475,0.5399527549743652,0.3111269176006317,,,,,,,,,,,,,,,,,,,,
0,48,,,,,,12.61111068725586,0.0,1.87916898727417,0.054212410002946854,0.5426400303840637,0.5327334403991699,0.18364784121513367,0.4388742744922638,0.10867868363857269,-1.0,-1.0,0.18364784121513367,0.18364784121513367,0.042685024440288544,0.2507745325565338,0.3407917320728302,0.3407917320728302,-1.0,-1.0,0.3407917320728302
1,49,12.5,2.125396728515625,0.0698813647031784,0.5657856464385986,0.6051021814346313,,,,,,,,,,,,,,,,,,,,
1,59,24.25,1.8458914756774902,0.05129577964544296,0.534702479839325,0.5273550152778625,,,,,,,,,,,,,,,,,,,,
1,69,31.25,1.1931827068328857,0.023560436442494392,0.49590829014778137,0.2897360920906067,,,,,,,,,,,,,,,,,,,,
1,79,20.0,1.7537996768951416,0.051505208015441895,0.5503602623939514,0.47295671701431274,,,,,,,,,,,,,,,,,,,,
1,89,10.5,1.3682408332824707,0.034925878047943115,0.41348010301589966,0.3900656998157501,,,,,,,,,,,,,,,,,,,,
1,97,,,,,,14.11111068725586,0.0,1.7905519008636475,0.04766054078936577,0.4474169909954071,0.5524160861968994,0.15643320977687836,0.4714607000350952,0.043989308178424835,-1.0,-1.0,0.15643320977687836,0.15643320977687836,0.04113597422838211,0.22478485107421875,0.27573150396347046,0.27573150396347046,-1.0,-1.0,0.27573150396347046
2,99,16.25,1.5906527042388916,0.03549378737807274,0.41671136021614075,0.49823617935180664,,,,,,,,,,,,,,,,,,,,
