epoch,step,train_cardinality_error,train_loss,train_loss_bbox,train_loss_ce,train_loss_giou,val_cardinality_error,val_loss,val_loss_bbox,val_loss_ce,val_loss_giou,val_map,val_map_50,val_map_75,val_map_large,val_map_medium,val_map_small,val_mar_1,val_mar_10,val_mar_100,val_mar_large,val_mar_medium,val_mar_small
0,9,10.25,2.118821382522583,0.03627046197652817,0.8726898431777954,0.5323896408081055,,,,,,,,,,,,,,,,,
0,19,7.5,2.8963143825531006,0.07153031975030899,0.9643290042877197,0.7871668934822083,,,,,,,,,,,,,,,,,
0,29,14.75,2.1729602813720703,0.053378354758024216,0.7996985912322998,0.553184986114502,,,,,,,,,,,,,,,,,
0,39,12.5,1.6758009195327759,0.034174323081970215,0.7062898278236389,0.39931973814964294,,,,,,,,,,,,,,,,,
0,48,,,,,,6.870370388031006,2.280102252960205,0.06196138635277748,0.854127824306488,0.5580837726593018,0.018060283735394478,0.054602183401584625,0.006376791279762983,-1.0,-1.0,0.018060283735394478,0.007807017769664526,0.05552631616592407,0.06763157993555069,-1.0,-1.0,0.06763157993555069
1,49,6.75,2.9253807067871094,0.08880414068698883,0.9102967381477356,0.7855316996574402,,,,,,,,,,,,,,,,,
1,59,13.5,1.883162021636963,0.028235383331775665,0.8407565355300903,0.4506143033504486,,,,,,,,,,,,,,,,,
1,69,10.75,2.4511866569519043,0.057027678936719894,0.8896462917327881,0.6382009983062744,,,,,,,,,,,,,,,,,
1,79,4.75,2.62923526763916,0.10273923724889755,0.730177640914917,0.6926807165145874,,,,,,,,,,,,,,,,,
1,89,21.25,2.7484965324401855,0.08165251463651657,0.8808512091636658,0.7296913266181946,,,,,,,,,,,,,,,,,
1,97,,,,,,14.537036895751953,2.2554967403411865,0.05354680120944977,0.8874942660331726,0.5501342415809631,0.015642957761883736,0.04624279960989952,0.005675391759723425,-1.0,-1.0,0.015642957761883736,0.006403508596122265,0.052719298750162125,0.07324561476707458,-1.0,-1.0,0.07324561476707458
2,99,18.75,2.6712446212768555,0.06446170061826706,1.050096869468689,0.6494196057319641,,,,,,,,,,,,,,,,,
2,109,25.0,2.1640844345092773,0.04092367738485336,1.0479705333709717,0.45574766397476196,,,,,,,,,,,,,,,,,
2,119,18.25,1.5269101858139038,0.025198353454470634,0.822481632232666,0.28921839594841003,,,,,,,,,,,,,,,,,
2,129,15.0,1.5942182540893555,0.02513657696545124,0.7478196024894714,0.3603578507900238,,,,,,,,,,,,,,,,,
2,139,9.0,2.5646042823791504,0.07891888916492462,0.9032548666000366,0.6333774924278259,,,,,,,,,,,,,,,,,
2,146,,,,,,14.685185432434082,1.8632879257202148,0.03699826821684837,0.8727955222129822,0.4027503430843353,0.03677716851234436,0.09228035807609558,0.02043495699763298,-1.0,-1.0,0.03677716851234436,0.01201754342764616,0.08342105150222778,0.11149122565984726,-1.0,-1.0,0.11149122565984726
3,149,16.0,1.3729407787322998,0.016655955463647842,0.8162280321121216,0.23671646416187286,,,,,,,,,,,,,,,,,
3,159,8.75,1.5312061309814453,0.02753954939544201,0.7855325937271118,0.30398786067962646,,,,,,,,,,,,,,,,,
3,169,7.75,1.392200231552124,0.017670655623078346,0.77555251121521,0.26414722204208374,,,,,,,,,,,,,,,,,
3,179,8.5,1.788671612739563,0.035686299204826355,0.8101603388786316,0.4000398814678192,,,,,,,,,,,,,,,,,
3,189,13.25,1.2086093425750732,0.01764053665101528,0.6362845301628113,0.24206110835075378,,,,,,,,,,,,,,,,,
3,195,,,,,,13.129630088806152,1.841294288635254,0.036310747265815735,0.8246209025382996,0.41755983233451843,0.045399848371744156,0.11726696789264679,0.022692548111081123,-1.0,-1.0,0.045399848371744156,0.01692982390522957,0.08833333104848862,0.12368421256542206,-1.0,-1.0,0.12368421256542206
4,199,10.0,2.215634346008301,0.048717010766267776,0.959234893321991,0.5064071416854858,,,,,,,,,,,,,,,,,
4,209,29.0,1.5867360830307007,0.017813479527831078,0.8841817378997803,0.30674347281455994,,,,,,,,,,,,,,,,,
4,219,15.5,2.2594757080078125,0.04862130805850029,0.9978759288787842,0.5092465281486511,,,,,,,,,,,,,,,,,
4,229,10.75,1.7039928436279297,0.02169436775147915,0.9704091548919678,0.3125559389591217,,,,,,,,,,,,,,,,,
4,239,10.75,1.4769716262817383,0.021631313487887383,0.7800649404525757,0.2943750321865082,,,,,,,,,,,,,,,,,
4,244,,,,,,10.38888931274414,1.8594709634780884,0.036783915013074875,0.8597883582115173,0.407881498336792,0.04664166271686554,0.11474210768938065,0.02347176894545555,-1.0,-1.0,0.04664166271686554,0.015877192839980125,0.0960526317358017,0.1057017520070076,-1.0,-1.0,0.1057017520070076
5,249,7.75,1.2749392986297607,0.017198557034134865,0.6465693712234497,0.27118855714797974,,,,,,,,,,,,,,,,,
5,259,8.0,2.414919376373291,0.05174899101257324,0.9786876440048218,0.5887433886528015,,,,,,,,,,,,,,,,,
5,269,22.25,2.330535888671875,0.04107346758246422,1.0399065017700195,0.5426310300827026,,,,,,,,,,,,,,,,,
5,279,12.75,1.742872714996338,0.03397345542907715,0.7781553268432617,0.3974250853061676,,,,,,,,,,,,,,,,,
5,289,4.0,2.390308380126953,0.05785686522722244,0.9565876722335815,0.572218120098114,,,,,,,,,,,,,,,,,
5,293,,,,,,11.481481552124023,2.0705790519714355,0.04271834343671799,0.8523123860359192,0.5023375153541565,0.02023319900035858,0.05956778675317764,0.007840432226657867,-1.0,-1.0,0.02023319900035858,0.007543859537690878,0.05964912101626396,0.0706140324473381,-1.0,-1.0,0.0706140324473381
6,299,15.75,1.7530514001846313,0.026437772437930107,0.8306899070739746,0.3950863182544708,,,,,,,,,,,,,,,,,
6,309,8.0,2.272653102874756,0.05519937351346016,0.845724880695343,0.575465738773346,,,,,,,,,,,,,,,,,
6,319,5.75,1.9528534412384033,0.041543859988451004,0.8392303586006165,0.45295193791389465,,,,,,,,,,,,,,,,,
6,329,18.5,1.5805528163909912,0.022551683709025383,0.8247664570808411,0.3215140104293823,,,,,,,,,,,,,,,,,
6,339,16.25,3.0120718479156494,0.08815576136112213,0.9815418720245361,0.7948756217956543,,,,,,,,,,,,,,,,,
6,342,,,,,,13.203703880310059,1.9171174764633179,0.03636160120368004,0.8462340235710144,0.4445377290248871,0.0317826122045517,0.09796632826328278,0.013956350274384022,-1.0,-1.0,0.0317826122045517,0.010175438597798347,0.07578947395086288,0.10105263441801071,-1.0,-1.0,0.10105263441801071
7,349,10.75,2.355536937713623,0.047409459948539734,0.9683865904808044,0.5750516057014465,,,,,,,,,,,,,,,,,
7,359,8.25,2.327777624130249,0.06165803223848343,0.8314149379730225,0.5940362811088562,,,,,,,,,,,,,,,,,
7,369,9.75,2.5707788467407227,0.05977727472782135,0.8972329497337341,0.6873297691345215,,,,,,,,,,,,,,,,,
7,379,8.5,1.6565070152282715,0.026817945763468742,0.6512530446052551,0.43558216094970703,,,,,,,,,,,,,,,,,
7,389,4.5,1.2859792709350586,0.02034430392086506,0.5398312211036682,0.3222132921218872,,,,,,,,,,,,,,,,,
7,391,,,,,,6.796296119689941,1.9172403812408447,0.034339938312768936,0.8543546199798584,0.4455930292606354,0.05454689636826515,0.13160763680934906,0.03460443392395973,-1.0,-1.0,0.05454689636826515,0.01631578989326954,0.09877192974090576,0.12105263024568558,-1.0,-1.0,0.12105263024568558
8,399,6.5,2.1653897762298584,0.043088845908641815,0.8446289896965027,0.5526582598686218,,,,,,,,,,,,,,,,,
8,409,9.75,2.0591328144073486,0.039922166615724564,0.8130848407745361,0.52321857213974,,,,,,,,,,,,,,,,,
8,419,8.75,1.4622852802276611,0.026449689641594887,0.6751267910003662,0.3274550139904022,,,,,,,,,,,,,,,,,
8,429,8.75,1.9259785413742065,0.0381632074713707,0.8260981440544128,0.4545322060585022,,,,,,,,,,,,,,,,,
8,439,12.75,2.4579689502716064,0.05273224040865898,1.038057804107666,0.578125,,,,,,,,,,,,,,,,,
8,440,,,,,,18.518518447875977,1.8439016342163086,0.029937293380498886,0.9433568120002747,0.3754291534423828,0.05914313718676567,0.13342534005641937,0.03638717532157898,-1.0,-1.0,0.05914313718676567,0.019035087898373604,0.10026315599679947,0.13429825007915497,-1.0,-1.0,0.13429825007915497
