Metric,Value
mAP@0.5,0.7965
fully-ripe_AP@0.5:0.95,0.5501
semi-ripe_AP@0.5:0.95,0.5400
unripe_AP@0.5:0.95,0.6094
mAP@0.5:0.95,0.5665
mAP@0.75,0.6718
Precision,0.8160
Recall,0.7479
Parameter(M),20.11
GFLOPs,33.56
