Metric,Value
mAP@0.5,0.7853
fully-ripe_AP@0.5:0.95,0.5362
semi-ripe_AP@0.5:0.95,0.5109
unripe_AP@0.5:0.95,0.5661
mAP@0.5:0.95,0.5377
mAP@0.75,0.6371
Precision,0.7826
Recall,0.7703
Parameter(M),20.03
GFLOPs,33.83
